frame_id,image,x1,y1,x2,y2,review_status,visibility,occluded,label,notes
"80","frames/frame_00080.jpg","594.19","378.93","620.28","397.27","ok","1.0","0","drone",""
"81","frames/frame_00081.jpg","575.48","384.77","600.80","402.58","ok","1.0","0","drone",""
"82","frames/frame_00082.jpg","558.95","388.58","583.67","406.91","ok","1.0","0","drone",""
"83","frames/frame_00083.jpg","541.06","391.72","566.00","410.45","ok","1.0","0","drone",""
"84","frames/frame_00084.jpg","524.71","395.55","549.68","414.42","ok","1.0","0","drone",""
"85","frames/frame_00085.jpg","508.36","399.38","533.37","418.39","ok","1.0","0","drone",""
"86","frames/frame_00086.jpg","492.01","403.21","517.05","422.36","ok","1.0","0","drone",""
"87","frames/frame_00087.jpg","475.66","407.04","500.74","426.33","ok","1.0","0","drone",""
"88","frames/frame_00088.jpg","459.31","410.88","484.42","430.30","ok","1.0","0","drone",""
"89","frames/frame_00089.jpg","437.03","422.67","461.19","438.30","ok","1.0","0","drone",""
"90","frames/frame_00090.jpg","420.41","427.98","443.78","443.34","ok","1.0","0","drone",""
"91","frames/frame_00091.jpg","405.61","433.35","428.12","447.72","ok","1.0","0","drone",""
"92","frames/frame_00092.jpg","394.05","438.53","414.43","452.52","ok","1.0","0","drone",""
"93","frames/frame_00093.jpg","394.50","439.84","413.98","454.03","ok","1.0","0","drone",""
"94","frames/frame_00094.jpg","382.60","440.73","402.08","457.28","ok","1.0","0","drone",""
"95","frames/frame_00095.jpg","377.84","446.34","387.81","453.43","ok","1.0","1","drone",""
"96","frames/frame_00096.jpg","365.95","444.87","385.43","456.68","ok","1.0","0","drone",""
"97","frames/frame_00097.jpg","364.01","448.12","377.84","467.03","ok","1.0","0","drone",""
"98","frames/frame_00098.jpg","349.29","446.64","373.53","467.91","ok","1.0","0","drone",""
"99","frames/frame_00099.jpg","351.67","449.89","368.77","461.71","ok","1.0","0","drone",""
"100","frames/frame_00100.jpg","349.29","448.41","371.15","469.68","ok","1.0","0","drone",""
"101","frames/frame_00101.jpg","349.29","446.93","371.15","463.48","ok","1.0","0","drone",""
"102","frames/frame_00102.jpg","351.67","450.18","371.15","466.73","ok","1.0","0","drone",""
"103","frames/frame_00103.jpg","354.05","453.43","375.91","462.89","ok","1.0","0","drone",""
"104","frames/frame_00104.jpg","361.19","447.23","373.53","466.14","ok","1.0","0","drone",""
"105","frames/frame_00105.jpg","363.57","443.39","385.43","469.39","ok","1.0","0","drone",""
"106","frames/frame_00106.jpg","370.71","444.28","390.19","460.82","ok","1.0","0","drone",""
"107","frames/frame_00107.jpg","375.46","442.80","399.70","466.43","ok","1.0","0","drone",""
"108","frames/frame_00108.jpg","384.98","438.96","409.22","457.87","ok","1.0","0","drone",""
"109","frames/frame_00109.jpg","396.88","437.48","416.36","458.75","ok","1.0","0","drone",""
"110","frames/frame_00110.jpg","411.15","436.00","423.49","445.46","ok","1.0","0","drone",""
"111","frames/frame_00111.jpg","420.67","432.16","440.15","446.34","ok","1.0","0","drone",""
"112","frames/frame_00112.jpg","434.94","423.59","456.80","444.87","ok","1.0","0","drone",""
"113","frames/frame_00113.jpg","449.22","424.48","473.46","438.66","ok","1.0","0","drone",""
"114","frames/frame_00114.jpg","470.63","415.91","485.35","432.46","ok","1.0","0","drone",""
"115","frames/frame_00115.jpg","484.91","404.98","509.14","430.98","ok","1.0","0","drone",""
"116","frames/frame_00116.jpg","503.94","398.78","530.56","420.05","ok","1.0","0","drone",""
"117","frames/frame_00117.jpg","522.97","392.57","556.73","413.84","ok","1.0","0","drone",""
"118","frames/frame_00118.jpg","553.90","384.00","575.76","400.55","ok","1.0","0","drone",""
"119","frames/frame_00119.jpg","577.70","375.44","609.07","396.71","ok","1.0","0","drone",""
"120","frames/frame_00120.jpg","606.25","364.51","630.48","385.78","ok","1.0","0","drone",""
"121","frames/frame_00121.jpg","639.55","358.30","663.79","374.85","ok","1.0","0","drone",""
"122","frames/frame_00122.jpg","675.24","342.64","694.72","375.73","ok","1.0","0","drone",""
"123","frames/frame_00123.jpg","706.17","329.35","735.17","352.98","ok","1.0","0","drone",""
"124","frames/frame_00124.jpg","743.85","319.60","772.74","345.50","ok","1.0","0","drone",""
"125","frames/frame_00125.jpg","782.30","307.48","808.92","326.39","ok","1.0","0","drone",""
"126","frames/frame_00126.jpg","824.04","293.42","849.78","311.85","ok","1.0","0","drone",""
"127","frames/frame_00127.jpg","875.09","278.53","899.33","299.80","ok","1.0","0","drone",""
"128","frames/frame_00128.jpg","920.42","262.25","947.85","281.95","ok","1.0","0","drone",""
"129","frames/frame_00129.jpg","975.78","244.26","1008.38","264.44","ok","1.0","0","drone",""
"130","frames/frame_00130.jpg","1033.59","226.04","1066.89","246.07","ok","1.0","0","drone",""
"131","frames/frame_00131.jpg","1105.87","201.72","1137.25","230.08","ok","1.0","0","drone",""
"132","frames/frame_00132.jpg","1164.62","184.05","1199.88","206.43","ok","1.0","0","drone",""
"133","frames/frame_00133.jpg","1236.73","156.22","1275.24","184.58","ok","1.0","0","drone",""
"134","frames/frame_00134.jpg","","","","","ok","0","0","negative",""
"135","frames/frame_00135.jpg","","","","","ok","0","0","negative",""
"136","frames/frame_00136.jpg","","","","","ok","0","0","negative",""
"137","frames/frame_00137.jpg","","","","","ok","0","0","negative",""
"138","frames/frame_00138.jpg","","","","","ok","0","0","negative",""
"139","frames/frame_00139.jpg","","","","","ok","0","0","negative",""
"140","frames/frame_00140.jpg","","","","","ok","0","0","negative",""
