frame_id,image,x1,y1,x2,y2,review_status,visibility,occluded,label,notes
0,frames/frame_00000.jpg,842.00,437.00,943.00,490.00,draft,,,drone,
15,frames/frame_00015.jpg,798.05,446.61,890.91,494.64,draft,,,drone,
30,frames/frame_00030.jpg,857.24,439.30,950.54,488.20,draft,,,drone,
45,frames/frame_00045.jpg,648.53,477.18,719.55,511.70,draft,,,drone,
60,frames/frame_00060.jpg,865.57,439.22,963.49,490.45,draft,,,drone,
75,frames/frame_00075.jpg,506.07,456.84,534.48,496.04,draft,,,drone,
90,frames/frame_00090.jpg,145.27,399.12,158.52,418.88,draft,,,drone,
105,frames/frame_00105.jpg,201.93,407.78,218.20,424.61,draft,,,drone,
120,frames/frame_00120.jpg,202.19,406.01,217.79,424.60,draft,,,drone,
135,frames/frame_00135.jpg,216.55,407.82,232.92,428.96,draft,,,drone,
150,frames/frame_00150.jpg,231.52,410.00,249.18,433.26,draft,,,drone,
165,frames/frame_00165.jpg,230.49,408.54,247.94,432.07,draft,,,drone,
180,frames/frame_00180.jpg,196.68,402.96,213.22,421.99,draft,,,drone,
195,frames/frame_00195.jpg,232.48,410.87,248.36,430.49,draft,,,drone,
210,frames/frame_00210.jpg,203.36,403.70,219.90,422.07,draft,,,drone,
225,frames/frame_00225.jpg,214.10,406.98,230.06,426.97,draft,,,drone,
240,frames/frame_00240.jpg,232.48,407.78,249.33,431.25,draft,,,drone,
255,frames/frame_00255.jpg,237.00,411.63,253.01,431.58,draft,,,drone,
270,frames/frame_00270.jpg,272.64,411.00,290.31,436.80,draft,,,drone,
285,frames/frame_00285.jpg,323.28,415.90,341.12,446.73,draft,,,drone,
300,frames/frame_00300.jpg,250.17,417.04,265.67,438.74,draft,,,drone,
315,frames/frame_00315.jpg,248.29,411.57,265.27,436.31,draft,,,drone,
330,frames/frame_00330.jpg,296.21,414.47,313.16,440.96,draft,,,drone,
345,frames/frame_00345.jpg,264.20,421.83,273.59,433.57,draft,,,drone,
360,frames/frame_00360.jpg,268.65,421.48,277.86,435.16,draft,,,drone,
375,frames/frame_00375.jpg,268.50,420.96,278.00,434.99,draft,,,drone,
390,frames/frame_00390.jpg,268.80,420.97,279.03,435.05,draft,,,drone,
405,frames/frame_00405.jpg,251.81,412.64,268.56,434.05,draft,,,drone,
420,frames/frame_00420.jpg,54.54,414.89,70.35,430.20,draft,,,drone,
435,frames/frame_00435.jpg,6.40,410.99,16.18,423.00,draft,,,drone,
450,frames/frame_00450.jpg,783.09,478.26,855.86,511.15,draft,,,drone,
465,frames/frame_00465.jpg,664.89,474.04,743.13,513.51,draft,,,drone,
480,frames/frame_00480.jpg,663.62,477.65,741.89,517.96,draft,,,drone,
