epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,189.359,1.93612,4.44887,0.00439,0.76767,0.63858,0.69532,0.36713,1.94113,1.30146,0.00451,0.00997585,0.00332528,0.00997585,0.00332528,0.00997585,0.00332528,0.00997585,0.00332528
2,350.274,1.85984,1.22492,0.004,0.8518,0.68576,0.75742,0.38557,2.01646,1.28541,0.00482,0.0195803,0.00652677,0.0195803,0.00652677,0.0195803,0.00652677,0.0195803,0.00652677
3,513.894,1.91094,1.11184,0.00406,0.83583,0.62475,0.6759,0.31268,2.19617,1.51386,0.00558,0.0287888,0.00959627,0.0287888,0.00959627,0.0287888,0.00959627,0.0287888,0.00959627
4,679.111,1.921,1.08855,0.00416,0.84962,0.68608,0.74858,0.33129,2.17255,1.20232,0.00564,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,842.782,1.86753,1.00472,0.00397,0.89772,0.71896,0.78548,0.38341,2.08264,1.12795,0.00515,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,1005.11,1.81664,0.94383,0.00382,0.90737,0.76567,0.82734,0.46093,1.82992,0.91142,0.00431,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,1168.04,1.78819,0.90185,0.00372,0.89809,0.76877,0.8314,0.48173,1.76259,0.92414,0.00402,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,1329.29,1.76098,0.85078,0.00364,0.93199,0.80378,0.86113,0.50178,1.696,0.82065,0.0039,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,1487.5,1.7445,0.82923,0.0036,0.93185,0.81668,0.86938,0.50698,1.69407,0.79744,0.00377,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,1648.39,1.72221,0.81614,0.00351,0.92583,0.81533,0.87392,0.50956,1.66795,0.79407,0.00371,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
11,1807.14,1.71592,0.81499,0.00347,0.93756,0.83631,0.88361,0.53132,1.61563,0.7305,0.0036,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
12,1967.16,1.69984,0.79354,0.00345,0.94908,0.83553,0.8878,0.53923,1.58131,0.73606,0.00351,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
13,2124.93,1.68046,0.77299,0.00341,0.9533,0.84116,0.895,0.53801,1.59767,0.71028,0.00356,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
14,2282.38,1.66678,0.75401,0.00335,0.94651,0.8454,0.89267,0.54077,1.58075,0.70259,0.00342,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
15,2441.78,1.65848,0.75292,0.00332,0.95129,0.844,0.89761,0.56433,1.5018,0.66831,0.00323,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
16,2600.76,1.64417,0.73976,0.00329,0.94443,0.84861,0.90155,0.56597,1.49277,0.68081,0.00322,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
17,2758.47,1.63874,0.73226,0.00326,0.95233,0.8513,0.9051,0.56944,1.48474,0.65539,0.00322,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
18,2916.53,1.63161,0.72084,0.00325,0.95766,0.85899,0.90905,0.57676,1.46922,0.62423,0.00315,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
19,3075.64,1.61893,0.70637,0.00324,0.96431,0.86301,0.91261,0.58207,1.45756,0.61943,0.00309,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
20,3234.18,1.60864,0.69682,0.00319,0.95949,0.87156,0.91477,0.58586,1.45006,0.6069,0.00308,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
21,3393.04,1.60517,0.69102,0.00318,0.95956,0.87304,0.91647,0.58908,1.4458,0.5927,0.00305,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
22,3548.65,1.60237,0.68953,0.00315,0.96315,0.87545,0.91982,0.59245,1.42927,0.58056,0.00302,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
23,3704.57,1.59208,0.68685,0.00314,0.96084,0.87592,0.91815,0.59708,1.41358,0.57337,0.00299,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
24,3860.18,1.57437,0.66815,0.0031,0.9617,0.87965,0.91948,0.59745,1.41511,0.57078,0.00298,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
25,4014.74,1.57168,0.67058,0.00308,0.96281,0.88256,0.92129,0.5961,1.41802,0.57458,0.00299,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
26,4169.24,1.55595,0.66635,0.00307,0.96349,0.88216,0.9234,0.6033,1.39877,0.56621,0.00294,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
27,4326.03,1.55338,0.65282,0.00305,0.9648,0.88641,0.92404,0.60583,1.39275,0.55899,0.00293,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
28,4482.04,1.55025,0.6502,0.00302,0.96443,0.88439,0.92533,0.60774,1.3831,0.55372,0.0029,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
29,4636.85,1.53363,0.64314,0.00298,0.96743,0.88512,0.92502,0.60762,1.38382,0.55537,0.0029,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
30,4794.75,1.52328,0.62981,0.00296,0.96608,0.88689,0.92653,0.60918,1.38274,0.55193,0.00289,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
31,4954.96,1.52428,0.63546,0.00295,0.96516,0.88857,0.92708,0.60985,1.3773,0.54224,0.00288,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
32,5114.81,1.51004,0.62474,0.00292,0.96733,0.88914,0.92737,0.61267,1.36978,0.54254,0.00287,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
33,5274.2,1.5049,0.61608,0.0029,0.96561,0.89169,0.92842,0.61339,1.37036,0.5348,0.00286,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
34,5432.38,1.48993,0.61388,0.00288,0.96542,0.89187,0.92873,0.61387,1.36853,0.53169,0.00285,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
35,5591.71,1.47949,0.60741,0.00284,0.96984,0.89339,0.93,0.61432,1.36695,0.52652,0.00285,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
36,5749.9,1.46846,0.59706,0.0028,0.96776,0.89451,0.92991,0.61545,1.36633,0.52692,0.00285,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
37,5908.71,1.46221,0.5948,0.00281,0.96988,0.89612,0.93121,0.6166,1.36355,0.52325,0.00284,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
38,6067.33,1.45835,0.5933,0.00277,0.97073,0.89463,0.93078,0.61704,1.36245,0.5195,0.00284,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
39,6227.07,1.44238,0.58341,0.00276,0.97349,0.89518,0.93165,0.61775,1.36014,0.51427,0.00283,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
40,6387.77,1.43414,0.57751,0.00273,0.97162,0.89693,0.93183,0.61918,1.35739,0.51182,0.00283,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
41,6550.08,1.37445,0.50443,0.00277,0.97067,0.89716,0.93184,0.62037,1.35598,0.51077,0.00282,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
42,6708.81,1.35607,0.49594,0.00272,0.97253,0.89693,0.93407,0.62098,1.35331,0.5088,0.00282,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
43,6868.2,1.34507,0.48485,0.00269,0.97224,0.89787,0.93463,0.62161,1.35153,0.5063,0.00281,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
44,7026.66,1.32515,0.48287,0.00264,0.97351,0.8976,0.93518,0.62266,1.34919,0.50279,0.0028,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
45,7185.8,1.31609,0.47341,0.00262,0.97339,0.89832,0.93525,0.62296,1.3474,0.49971,0.0028,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
46,7345.64,1.30784,0.47018,0.00258,0.97227,0.89894,0.93521,0.62368,1.34584,0.49949,0.00279,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
47,7506.04,1.29353,0.45873,0.00256,0.97325,0.89846,0.93587,0.62362,1.34479,0.49817,0.00279,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
48,7666.15,1.27828,0.45944,0.00251,0.97143,0.89908,0.93588,0.62373,1.3436,0.49826,0.00279,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
49,7826.1,1.26679,0.45678,0.00247,0.97152,0.90203,0.93625,0.62445,1.34105,0.49833,0.00278,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
50,7986.01,1.25337,0.44892,0.00245,0.97095,0.90176,0.93637,0.62477,1.34138,0.49615,0.00278,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
